t,x1,y1,z1,x2,y2,z2
3.7625,36.3857,5.23783,30.9868,60.8178,29.4049,7.83627
3.775,36.4769,4.95219,31.0618,61.0054,28.9275,7.82376
3.7875,36.5593,4.66375,31.1371,61.1787,28.4448,7.81108
3.8,36.6328,4.37278,31.2125,61.3376,27.9574,7.79822
3.8125,36.6973,4.07955,31.2881,61.482,27.4655,7.78518
3.825,36.7528,3.78434,31.3639,61.6117,26.9697,7.77197
3.8375,36.7992,3.48742,31.4399,61.7266,26.4704,7.75857
3.85,36.8364,3.18906,31.516,61.8266,25.968,7.745
3.8625,36.8645,2.88955,31.5923,61.9116,25.463,7.73124
3.875,36.8833,2.58916,31.6688,61.9816,24.9559,7.7173
3.8875,36.8929,2.28816,31.7455,62.0365,24.447,7.70318
3.9,36.8932,1.98685,31.8224,62.0763,23.9369,7.68888
3.9125,36.8842,1.68549,31.8995,62.1009,23.426,7.67438
3.925,36.866,1.38438,31.9767,62.1103,22.9147,7.6597
3.9375,36.8386,1.08378,32.0541,62.1045,22.4036,7.64484
3.95,36.8019,0.783987,32.1317,62.0835,21.893,7.62978
3.9625,36.756,0.485267,32.2096,62.0474,21.3835,7.61453
3.975,36.7009,0.187901,32.2876,61.9961,20.8754,7.59909
3.9875,36.6367,-0.107833,32.3658,61.9298,20.3693,7.58346
4,36.5635,-0.401661,32.4441,61.8485,19.8656,7.56763
4.0125,36.4812,-0.69331,32.5227,61.7522,19.3647,7.55161
4.025,36.39,-0.982509,32.6015,61.6412,18.867,7.53539
4.0375,36.29,-1.26899,32.6805,61.5154,18.3731,7.51897
4.05,36.1811,-1.55248,32.7597,61.375,17.8834,7.50235
4.0625,36.0636,-1.83272,32.839,61.2201,17.3982,7.48553
4.075,35.9375,-2.10946,32.9186,61.0509,16.9181,7.4685
4.0875,35.8029,-2.38242,32.9984,60.8676,16.4435,7.45126
4.1,35.6599,-2.65136,33.0784,60.6703,15.9747,7.43382
4.1125,35.5087,-2.91603,33.1586,60.4591,15.5122,7.41617
4.125,35.3494,-3.17618,33.239,60.2343,15.0565,7.39831
4.1375,35.1822,-3.43156,33.3196,59.9962,14.6078,7.38024
4.15,35.0071,-3.68194,33.4005,59.7448,14.1667,7.36195
4.1625,34.8244,-3.92709,33.4815,59.4805,13.7335,7.34344
4.175,34.6341,-4.16678,33.5628,59.2035,13.3086,7.32472
4.1875,34.4365,-4.40077,33.6443,58.914,12.8923,7.30577
4.2,34.2318,-4.62886,33.726,58.6123,12.4851,7.2866
4.2125,34.0201,-4.85082,33.808,58.2988,12.0873,7.26721
4.225,33.8016,-5.06646,33.8901,57.9736,11.6993,7.24759
4.2375,33.5765,-5.27557,33.9725,57.6371,11.3214,7.22775
4.25,33.3449,-5.47794,34.0551,57.2896,10.9539,7.20767
4.2625,33.1072,-5.6734,34.138,56.9314,10.5972,7.18735
4.275,32.8635,-5.86176,34.2211,56.5628,10.2515,7.16681
4.2875,32.6141,-6.04284,34.3044,56.1842,9.91725,7.14602
4.3,32.3591,-6.21647,34.388,55.796,9.59467,7.125
4.3125,32.0987,-6.38248,34.4718,55.3984,9.28406,7.10373
4.325,31.8333,-6.54072,34.5558,54.9918,8.98569,7.08223
4.3375,31.563,-6.69103,34.6401,54.5767,8.69982,7.06047
